Qtde Declarantes,Instrução,Médicas,Bens e Direitos,ano,Municipio,UF,chave,Total Rend,Total Rend por declarante,Instrução por declarante,Médicas por declarante,Bens e Direitos por declarante
884,544087.86,1332363.1600000001,81259268.8,2015,ABADIA DE GOIAS,GO,2015ABADIA DE GOIASGO,46974653.07,53138.747816742085,615.4840045248869,1507.1981447963801,91922.24977375566
572,108173.27,258484.34999999998,75752528.36,2015,ABADIA DOS DOURADOS,MG,2015ABADIA DOS DOURADOSMG,29753201.79,52016.087045454544,189.1141083916084,451.8957167832167,132434.49013986014
926,776157.3899999999,1313360.98,112458949.72,2015,ABADIANIA,GO,2015ABADIANIAGO,47339874.129999995,51122.9742224622,838.1829265658746,1418.3163930885528,121445.95002159826
7246,14736743.17,22390491.54,246027102.31,2015,ABAETETUBA,PA,2015ABAETETUBAPA,402850510.55,55596.261461496004,2033.776313828319,3090.048515042782,33953.50570107646
2157,883004.5,3011041.26,453803065.76,2015,ABAETE,MG,2015ABAETEMG,165166853.93,76572.48675475197,409.3669448307835,1395.939388038943,210386.21500231803
256,74001.37,76276.15,4746537.24,2015,ABAIARA,CE,2015ABAIARACE,8545429.9,33380.585546875,289.0678515625,297.9537109375,18541.16109375
403,187097.47,524522.86,8679949.65,2015,ABARE,BA,2015ABAREBA,18848266.18,46769.89126550868,464.2617121588089,1301.5455583126552,21538.33660049628
427,188726.86,402673.02,67809881.12,2015,ABATIA,PR,2015ABATIAPR,29811429.28,69815.9936299766,441.9832786885246,943.028149882904,158805.34220140515
230,79968.78,407619.43,37587698.97,2015,ABAIRA,BA,2015ABAIRABA,11147908.2,48469.16608695652,347.690347826087,1772.258391304348,163424.77813043477
217,89639.1,239308.73,33145777.699999996,2015,ABDON BATISTA,SC,2015ABDON BATISTASC,11794697.51,54353.44474654377,413.08341013824884,1102.805207373272,152745.51935483867
339,134271.46000000002,202494.15000000002,48533595.0,2015,ABEL FIGUEIREDO,PA,2015ABEL FIGUEIREDOPA,15367288.62,45331.23486725664,396.0810029498526,597.3278761061947,143166.94690265486
1387,626681.68,1857653.02,397950944.43,2015,ABELARDO LUZ,SC,2015ABELARDO LUZSC,104685793.88,75476.41952415284,451.8252919971161,1339.3316654650325,286914.88423215575
969,491353.91000000003,1087995.9400000002,147195471.28,2015,ABRE CAMPO,MG,2015ABRE CAMPOMG,59727388.13,61638.171444788444,507.0731785345717,1122.8028276573789,151904.511124871
6211,5418326.55,7153198.92,114881244.61000001,2015,ABREU E LIMA,PE,2015ABREU E LIMAPE,286033899.65,46052.793374657864,872.3758734503301,1151.6984253743358,18496.41677829657
148,17227.0,29154.84,14778258.93,2015,ABREULANDIA,TO,2015ABREULANDIATO,5874377.22,39691.73797297297,116.39864864864865,196.99216216216217,99853.10087837838
216,220614.36000000002,306202.97000000003,7834742.78,2015,ACAIACA,MG,2015ACAIACAMG,9865915.45,45675.534490740734,1021.3627777777778,1417.6063425925927,36271.95731481481
442,275473.02,750572.11,16198102.83,2015,ACAJUTIBA,BA,2015ACAJUTIBABA,18899941.11,42760.047760181,623.2421266968325,1698.1269457013575,36647.291470588236
422,326826.82,387802.06,8808257.120000001,2015,ACARAPE,CE,2015ACARAPECE,17418200.089999996,41275.35566350709,774.4711374407583,918.9622274881516,20872.647203791472
1759,1386495.1700000002,1585773.7,75915232.85,2015,ACARAU,CE,2015ACARAUCE,83815294.69999999,47649.400056850485,788.2292040932348,901.5200113700967,43158.17671972712
692,197247.44,577089.72,33670381.489999995,2015,ACARI,RN,2015ACARIRN,35521537.830000006,51331.702066474,285.03965317919074,833.944682080925,48656.62065028901
853,348222.70999999996,811589.97,13495299.600000001,2015,ACARA,PA,2015ACARAPA,42286973.36999999,49574.411922626015,408.23295427901525,951.4536576787808,15820.984290738572
118,29938.6,55438.479999999996,5599041.67,2015,ACAUA,PI,2015ACAUAPI,4883542.34,41385.952033898306,253.71694915254238,469.81762711864405,47449.5056779661
457,26517.9,351828.66000000003,71892555.57,2015,ACEGUA,RS,2015ACEGUARS,29952018.27,65540.5213785558,58.026039387308536,769.8657768052516,157314.1259737418
1606,776132.5599999999,1360264.78,127405687.30999999,2015,ACOPIARA,CE,2015ACOPIARACE,85175475.03999998,53035.787696139465,483.27058530510584,846.9892777085928,79331.06308219177
410,513420.79,1295334.79,9278614.000000002,2015,ACORIZAL,MT,2015ACORIZALMT,18978682.08,46289.46848780487,1252.2458292682927,3159.3531463414633,22630.76585365854
630,408637.82,489469.43,23692134.549999997,2015,ACRELANDIA,AC,2015ACRELANDIAAC,29535620.12,46881.936698412705,648.6314603174602,776.9356031746031,37606.56277777778
2181,1112139.57,4007321.0599999996,537813410.19,2015,ACREUNA,GO,2015ACREUNAGO,180166138.48999998,82607.1244795965,509.9218569463549,1837.3778358551122,246590.28436038515
6026,2365631.9200000004,7827719.840000001,1210099865.97,2015,ADAMANTINA,SP,2015ADAMANTINASP,491584479.7,81577.24522071025,392.570846332559,1298.9910122801195,200813.12080484568
182,78572.13,298425.26,30962880.82,2015,ADELANDIA,GO,2015ADELANDIAGO,8520958.719999999,46818.454505494505,431.715,1639.6992307692308,170125.71879120878
475,52631.31,397035.42,34436622.13,2015,ADOLFO,SP,2015ADOLFOSP,24722532.24,52047.43629473684,110.80275789473684,835.8640421052631,72498.15185263159
436,74826.93,231753.71,43950989.15,2015,ADRIANOPOLIS,PR,2015ADRIANOPOLISPR,21891338.529999997,50209.4920412844,171.62139908256881,531.5452064220184,100805.02098623852
370,151289.73,313377.74,28353776.810000002,2015,ADUSTINA,BA,2015ADUSTINABA,13532389.57,36574.02586486487,408.89116216216223,846.966864864865,76631.82921621623
2101,1974023.84,4261989.94,172648900.91,2015,AFOGADOS DA INGAZEIRA,PE,2015AFOGADOS DA INGAZEIRAPE,118974263.42,56627.44570204664,939.5639409804855,2028.5530414088532,82174.63156116135
328,104817.76,249883.05,5692931.420000001,2015,AFONSO BEZERRA,RN,2015AFONSO BEZERRARN,13900627.7,42379.9625,319.56634146341463,761.8385670731707,17356.49823170732
2298,415671.83,2501793.5100000002,322154628.16,2015,AFONSO CLAUDIO,ES,2015AFONSO CLAUDIOES,148265965.07,64519.56704525674,180.88417319408182,1088.682989556136,140189.1332288947
121,103874.44,116609.01,1543695.65,2015,AFONSO CUNHA,MA,2015AFONSO CUNHAMA,5303067.19,43827.001570247936,858.4664462809918,963.710826446281,12757.815289256198
422,250339.18,564522.5,27533370.249999996,2015,AFRANIO,PE,2015AFRANIOPE,19011975.24,45052.074028436014,593.2208056872038,1337.7310426540284,65244.95319905213
484,230164.34,430283.04,4584670.4799999995,2015,AFUA,PA,2015AFUAPA,27515163.790000003,56849.51196280992,475.5461570247934,889.0145454545456,9472.459669421487
696,245722.53999999998,592901.42,26770691.029999997,2015,AGRESTINA,PE,2015AGRESTINAPE,28596935.490000002,41087.550991379314,353.0496264367816,851.869856321839,38463.636537356324
189,88107.48,178873.25,2819059.06,2015,AGRICOLANDIA,PI,2015AGRICOLANDIAPI,7371078.92,39000.41756613756,466.1771428571429,946.4193121693122,14915.656402116401
1216,217091.31,920461.76,171890696.75,2015,AGROLANDIA,SC,2015AGROLANDIASC,73938982.68,60805.084440789484,178.5290378289474,756.9586842105263,141357.48087993418
593,189724.11000000002,365066.71,101112825.55,2015,AGRONOMICA,SC,2015AGRONOMICASC,33960198.650000006,57268.463153457,319.93947723440135,615.6268296795953,170510.66703204045
213,60719.229999999996,192503.7,26125732.150000002,2015,AGUANIL,MG,2015AGUANILMG,9922236.91,46583.271877934276,285.0668075117371,903.7732394366197,122656.01948356807
3755,1523840.14,6408758.319999999,724832617.76,2015,AGUAI,SP,2015AGUAISP,243709350.27,64902.62324101199,405.8162822902796,1706.7265832223702,193031.32297203725
1735,352325.2,1646541.37,337754662.54,2015,AGUDO,RS,2015AGUDORS,117036258.33999999,67456.05668011527,203.0692795389049,949.0151988472622,194671.27523919308
5082,2311831.9299999997,4798870.24,582883558.41,2015,AGUDOS,SP,2015AGUDOSSP,314098192.59999996,61806.019795356144,454.9059287682015,944.2877292404565,114695.70216646988
556,161942.1,553698.73,71043476.67,2015,AGUDOS DO SUL,PR,2015AGUDOS DO SULPR,29613015.36,53260.818992805755,291.2627697841727,995.8610251798563,127776.037176259
130,65396.1,142371.71000000002,3870613.33,2015,AGUIAR,PB,2015AGUIARPB,5465193.0200000005,42039.94630769231,503.0469230769231,1095.1670000000001,29773.94869230769
275,113689.86,235603.76,21666970.630000003,2015,AGUIARNOPOLIS,TO,2015AGUIARNOPOLISTO,20151288.74,73277.4136,413.4176727272727,856.7409454545455,78788.9841090909
2016,991067.02,3629303.74,190983931.24,2015,AIMORES,MG,2015AIMORESMG,125850725.24000001,62425.95498015873,491.6007043650794,1800.2498710317461,94734.09287698413
153,68445.0,265552.75,4193040.6199999996,2015,AIQUARA,BA,2015AIQUARABA,6423469.46,41983.460522875816,447.3529411764706,1735.638888888889,27405.494248366012
297,61656.78,130481.27,4384348.28,2015,AIUABA,CE,2015AIUABACE,10395204.96,35000.69010101011,207.59858585858586,439.3308754208755,14762.115420875421
382,105314.14,540644.9500000001,67483317.00999999,2015,AIURUOCA,MG,2015AIURUOCAMG,27536354.860000003,72084.69858638744,275.6914659685864,1415.3009162303665,176657.89793193716
725,244733.3,871225.34,161867883.26999998,2015,AJURICABA,RS,2015AJURICABARS,46598280.49,64273.49033103448,337.5631724137931,1201.690124137931,223266.04588965516
