Ano,UF,Código do Município,Municipio,PIB x 1000,PIB per capita x 1 ,chave
2015,GO,5200050,ABADIA DE GOIAS,171701.646,21748.15,2015ABADIA DE GOIAS
2016,GO,5200050,ABADIA DE GOIAS,165066.914,20497.57,2016ABADIA DE GOIAS
2017,GO,5200050,ABADIA DE GOIAS,234041.689,28517.33,2017ABADIA DE GOIAS
2018,GO,5200050,ABADIA DE GOIAS,227500.088,26505.89,2018ABADIA DE GOIAS
2015,MG,3100104,ABADIA DOS DOURADOS,164480.415,23446.96,2015ABADIA DOS DOURADOS
2016,MG,3100104,ABADIA DOS DOURADOS,180338.614,25627.2,2016ABADIA DOS DOURADOS
2017,MG,3100104,ABADIA DOS DOURADOS,154896.113,21943.07,2017ABADIA DOS DOURADOS
2018,MG,3100104,ABADIA DOS DOURADOS,127960.448,18353.48,2018ABADIA DOS DOURADOS
2015,GO,5200100,ABADIANIA,289003.059,15994.41,2015ABADIANIA
2016,GO,5200100,ABADIANIA,288087.91,15634.01,2016ABADIANIA
2017,GO,5200100,ABADIANIA,303443.373,16162.1,2017ABADIANIA
2018,GO,5200100,ABADIANIA,316431.661,16132.95,2018ABADIANIA
2015,MG,3100203,ABAETE,339606.982,14429.87,2015ABAETE
2016,MG,3100203,ABAETE,430061.583,18243.05,2016ABAETE
2017,MG,3100203,ABAETE,426027.681,18043.61,2017ABAETE
2018,MG,3100203,ABAETE,494334.686,21286.43,2018ABAETE
2015,PA,1500107,ABAETETUBA,1192555.065,7927.59,2015ABAETETUBA
2016,PA,1500107,ABAETETUBA,1246638.758,8205.13,2016ABAETETUBA
2017,PA,1500107,ABAETETUBA,1337352.842,8719.21,2017ABAETETUBA
2018,PA,1500107,ABAETETUBA,1413837.872,9046.13,2018ABAETETUBA
2015,CE,2300101,ABAIARA,66036.984,5814.65,2015ABAIARA
2016,CE,2300101,ABAIARA,73672.271,6415.77,2016ABAIARA
2017,CE,2300101,ABAIARA,92950.73,8009.54,2017ABAIARA
2018,CE,2300101,ABAIARA,85845.521,7360.5,2018ABAIARA
2015,BA,2900108,ABAIRA,54905.036,5951.12,2015ABAIRA
2016,BA,2900108,ABAIRA,64378.733,6988.57,2016ABAIRA
2017,BA,2900108,ABAIRA,58456.775,6354.69,2017ABAIRA
2018,BA,2900108,ABAIRA,59564.835,6794.21,2018ABAIRA
2015,BA,2900207,ABARE,120085.259,6134.94,2015ABARE
2016,BA,2900207,ABARE,124224.503,6230.23,2016ABARE
2017,BA,2900207,ABARE,137405.077,6805.94,2017ABARE
2018,BA,2900207,ABARE,137846.782,6957.04,2018ABARE
2015,PR,4100103,ABATIA,147504.598,18855.25,2015ABATIA
2016,PR,4100103,ABATIA,164841.905,21147.13,2016ABATIA
2017,PR,4100103,ABATIA,177227.322,22815.05,2017ABATIA
2018,PR,4100103,ABATIA,161623.88,21529.76,2018ABATIA
2015,SC,4200051,ABDON BATISTA,63126.643,24002.53,2015ABDON BATISTA
2016,SC,4200051,ABDON BATISTA,64722.961,24731.74,2016ABDON BATISTA
2017,SC,4200051,ABDON BATISTA,63044.709,24210.72,2017ABDON BATISTA
2018,SC,4200051,ABDON BATISTA,63182.188,24517.73,2018ABDON BATISTA
2015,PA,1500131,ABEL FIGUEIREDO,66599.268,9345.95,2015ABEL FIGUEIREDO
2016,PA,1500131,ABEL FIGUEIREDO,76698.732,10683.76,2016ABEL FIGUEIREDO
2017,PA,1500131,ABEL FIGUEIREDO,80633.033,11151.02,2017ABEL FIGUEIREDO
2018,PA,1500131,ABEL FIGUEIREDO,82210.098,11136.56,2018ABEL FIGUEIREDO
2015,SC,4200101,ABELARDO LUZ,562305.722,31738.2,2015ABELARDO LUZ
2016,SC,4200101,ABELARDO LUZ,604764.162,34009.91,2016ABELARDO LUZ
2017,SC,4200101,ABELARDO LUZ,606396.756,33977.52,2017ABELARDO LUZ
2018,SC,4200101,ABELARDO LUZ,697968.396,39108.44,2018ABELARDO LUZ
2015,MG,3100302,ABRE CAMPO,183092.095,13345.88,2015ABRE CAMPO
2016,MG,3100302,ABRE CAMPO,187936.372,13692.0,2016ABRE CAMPO
2017,MG,3100302,ABRE CAMPO,185924.527,13538.52,2017ABRE CAMPO
2018,MG,3100302,ABRE CAMPO,187686.741,13938.86,2018ABRE CAMPO
2015,PE,2600054,ABREU E LIMA,1333651.418,13525.6,2015ABREU E LIMA
2016,PE,2600054,ABREU E LIMA,1416083.503,14305.32,2016ABREU E LIMA
2017,PE,2600054,ABREU E LIMA,2003007.115,20158.28,2017ABREU E LIMA
