Municipio,Pop Mun 2015,Pop Mun 2016,Pop Mun 2017,Pop Mun 2018,UF,chave
ALTA FLORESTA D'OESTE,25578,25506,25437,23167,RO,ALTA FLORESTA D'OESTERO
ARIQUEMES,104401,105896,107345,106168,RO,ARIQUEMESRO
CABIXI,6355,6289,6224,5438,RO,CABIXIRO
CACOAL,87226,87877,88507,84813,RO,CACOALRO
CEREJEIRAS,17986,17959,17934,16444,RO,CEREJEIRASRO
COLORADO DO OESTE,18817,18639,18467,16227,RO,COLORADO DO OESTERO
CORUMBIARA,8842,8749,8659,7567,RO,CORUMBIARARO
COSTA MARQUES,16651,17031,17400,17855,RO,COSTA MARQUESRO
ESPIGAO D'OESTE,32385,32712,33030,32047,RO,ESPIGAO D'OESTERO
GUAJARA-MIRIM,46632,47048,47451,45783,RO,GUAJARA-MIRIMRO
JARU,55738,55806,55871,51933,RO,JARURO
JI-PARANA,130419,131560,132667,127907,RO,JI-PARANARO
MACHADINHO D'OESTE,37167,37899,38609,39097,RO,MACHADINHO D'OESTERO
NOVA BRASILANDIA D'OESTE,21592,21670,21747,20459,RO,NOVA BRASILANDIA D'OESTERO
OURO PRETO DO OESTE,39924,39840,39759,36340,RO,OURO PRETO DO OESTERO
PIMENTA BUENO,37512,37786,38051,36434,RO,PIMENTA BUENORO
PORTO VELHO,502748,511219,519436,519531,RO,PORTO VELHORO
PRESIDENTE MEDICI,22557,22337,22124,19409,RO,PRESIDENTE MEDICIRO
RIO CRESPO,3750,3790,3829,3723,RO,RIO CRESPORO
ROLIM DE MOURA,56242,56664,57074,54702,RO,ROLIM DE MOURARO
SANTA LUZIA D'OESTE,8532,8362,8198,6781,RO,SANTA LUZIA D'OESTERO
VILHENA,91801,93745,95630,97448,RO,VILHENARO
SAO MIGUEL DO GUAPORE,23933,24059,24181,22931,RO,SAO MIGUEL DO GUAPORERO
NOVA MAMORE,27600,28255,28891,29757,RO,NOVA MAMORERO
ALVORADA D'OESTE,17063,16902,16747,14722,RO,ALVORADA D'OESTERO
ALTO ALEGRE DOS PARECIS,13940,13993,14045,13227,RO,ALTO ALEGRE DOS PARECISRO
ALTO PARAISO,20210,20569,20916,20999,RO,ALTO PARAISORO
BURITIS,37838,38450,39044,38937,RO,BURITISRO
NOVO HORIZONTE DO OESTE,10276,10161,10051,8751,RO,NOVO HORIZONTE DO OESTERO
CACAULANDIA,6367,6414,6460,6190,RO,CACAULANDIARO
CAMPO NOVO DE RONDONIA,14220,14354,14484,14009,RO,CAMPO NOVO DE RONDONIARO
CANDEIAS DO JAMARI,24155,24719,25266,25983,RO,CANDEIAS DO JAMARIRO
CASTANHEIRAS,3617,3583,3550,3119,RO,CASTANHEIRASRO
CHUPINGUAIA,10129,10364,10593,10886,RO,CHUPINGUAIARO
CUJUBIM,20974,21720,22443,24226,RO,CUJUBIMRO
GOVERNADOR JORGE TEIXEIRA,10127,9933,9745,8095,RO,GOVERNADOR JORGE TEIXEIRARO
ITAPUA DO OESTE,9995,10155,10310,10272,RO,ITAPUA DO OESTERO
MINISTRO ANDREAZZA,10823,10786,10751,9762,RO,MINISTRO ANDREAZZARO
MIRANTE DA SERRA,12360,12308,12258,11080,RO,MIRANTE DA SERRARO
MONTE NEGRO,15873,16032,16186,15695,RO,MONTE NEGRORO
NOVA UNIAO,7824,7796,7769,7047,RO,NOVA UNIAORO
PARECIS,5697,5802,5904,5947,RO,PARECISRO
PIMENTEIRAS DO OESTE,2424,2417,2410,2191,RO,PIMENTEIRAS DO OESTERO
PRIMAVERA DE RONDONIA,3501,3456,3411,2939,RO,PRIMAVERA DE RONDONIARO
SAO FELIPE D'OESTE,6103,6048,5994,5280,RO,SAO FELIPE D'OESTERO
SAO FRANCISCO DO GUAPORE,19002,19353,19694,19842,RO,SAO FRANCISCO DO GUAPORERO
SERINGUEIRAS,12581,12617,12653,11860,RO,SERINGUEIRASRO
TEIXEIROPOLIS,5003,4966,4931,4384,RO,TEIXEIROPOLISRO
THEOBROMA,11347,11348,11350,10494,RO,THEOBROMARO
URUPA,13293,13198,13106,11665,RO,URUPARO
VALE DO ANARI,10843,10999,11149,11028,RO,VALE DO ANARIRO
VALE DO PARAISO,8231,8138,8047,6998,RO,VALE DO PARAISORO
ACRELANDIA,13869,14120,14366,15020,AC,ACRELANDIAAC
ASSIS BRASIL,6738,6863,6986,7300,AC,ASSIS BRASILAC
BRASILEIA,23849,24311,24765,25848,AC,BRASILEIAAC
BUJARI,9339,9503,9664,10111,AC,BUJARIAC
CAPIXABA,10498,10820,11136,11456,AC,CAPIXABAAC
CRUZEIRO DO SUL,81519,82075,82622,87673,AC,CRUZEIRO DO SULAC
EPITACIOLANDIA,16731,17038,17340,18122,AC,EPITACIOLANDIAAC
FEIJO,32385,32372,32360,34675,AC,FEIJOAC
JORDAO,7509,7685,7858,8159,AC,JORDAOAC
MANCIO LIMA,17173,17545,17910,18638,AC,MANCIO LIMAAC
MANOEL URBANO,8641,8765,8886,9336,AC,MANOEL URBANOAC
MARECHAL THAUMATURGO,16895,17401,17897,18430,AC,MARECHAL THAUMATURGOAC
PLACIDO DE CASTRO,18159,18336,18510,19565,AC,PLACIDO DE CASTROAC
PORTO WALTER,10759,11059,11353,11720,AC,PORTO WALTERAC
RIO BRANCO,370550,377057,383443,401155,AC,RIO BRANCOAC
RODRIGUES ALVES,16974,17464,17945,18504,AC,RODRIGUES ALVESAC
SANTA ROSA DO PURUS,5809,6021,6230,6362,AC,SANTA ROSA DO PURUSAC
SENADOR GUIOMARD,21182,21369,21552,22810,AC,SENADOR GUIOMARDAC
SENA MADUREIRA,41750,42451,43139,45177,AC,SENA MADUREIRAAC
TARAUACA,38819,39427,40024,41976,AC,TARAUACAAC
XAPURI,17608,17894,18174,19048,AC,XAPURIAC
PORTO ACRE,16757,17111,17459,18180,AC,PORTO ACREAC
ALVARAES,15545,15729,15908,15860,AM,ALVARAESAM
AMATURA,10847,11047,11242,11332,AM,AMATURAAM
ANAMA,12320,12653,12978,13269,AM,ANAMAAM
ANORI,19292,19749,20196,20538,AM,ANORIAM
APUI,20648,21031,21406,21583,AM,APUIAM
ATALAIA DO NORTE,18133,18599,19054,19438,AM,ATALAIA DO NORTEAM
AUTAZES,37033,37752,38454,38830,AM,AUTAZESAM
BARCELOS,27433,27589,27743,27364,AM,BARCELOSAM
BARREIRINHA,30658,31105,31542,31593,AM,BARREIRINHAAM
BENJAMIN CONSTANT,39484,40417,41329,42020,AM,BENJAMIN CONSTANTAM
BERURI,18171,18579,18978,19258,AM,BERURIAM
BOA VISTA DO RAMOS,17668,18080,18483,18781,AM,BOA VISTA DO RAMOSAM
BOCA DO ACRE,33498,33840,34176,33976,AM,BOCA DO ACREAM
